CATEGORY ,CONTESTANT NAME,CODE,CATEGORYID,CONTESTANTID
GROUP OF THE YEAR,HARMONIC KINGS,"1GRPY1
",1,1
GROUP OF THE YEAR,FOREVER MOTO BAND,"1GRPY2
",1,2
GROUP OF THE YEAR,SOVEREIGN GROUP,1GRPY3,1,3
GROUP OF THE YEAR,FATHERS HEART,1GRPY4,1,4
GROUP OF THE YEAR,VOICE CHORD,1GRPY5,1,5
GROUP OF THE YEAR,SENTIVILLE MELODIES,1GRPY6,1,6
HIP-HOP SONG OF THE YEAR,LIBRA ONE    - AJABU,2HPSY1,2,1
HIP-HOP SONG OF THE YEAR,RAP KING COLLO  - AMEN,2HPSY2,2,2
HIP-HOP SONG OF THE YEAR,SOVEREIGN  - CHRIST A DE BEST,2HPSY3,2,3
YOUNG TALENT OF THE YEAR,SHIRLEEN VOBIC,3YTY1,3,1
YOUNG TALENT OF THE YEAR,PRAISE MAKENA,3YTY2,3,2
YOUNG TALENT OF THE YEAR,WHITNEY JOY,3YTY3,3,3
YOUNG TALENT OF THE YEAR,JOY ANNA,3YTY4,3,4
YOUNG TALENT OF THE YEAR,LYNN BAHATI,3YTY5,3,5
YOUNG TALENT OF THE YEAR,NENKAI,3YTY6,3,6
RADIO PRESENTER OF THE YEAR,MC WAYNE - TANDAZA RADIO,4RPY1,4,1
RADIO PRESENTER OF THE YEAR,MTUME PAUL MUCHESI   –  RADIO YETU,4RPY2,4,2
RADIO PRESENTER OF THE YEAR,MAGDALENA MSUPA WA YESU - RADIO AMANI,4RPY3,4,3
RADIO PRESENTER OF THE YEAR,KAGZ      - MBCI RADIO,4RPY4,4,4
RADIO PRESENTER OF THE YEAR,SAMSON SIMPIRI    -  SIDAI FM,4RPY5,4,5
COLLABORATION SONG OF THE YEAR,IRENE SEUREY ft. TOQCIE  - MAWALAKSEI,5CSY1,5,1
COLLABORATION SONG OF THE YEAR,ZAE DE KIM ft. G-NICE - WACHA IWE,5CSY2,5,2
COLLABORATION SONG OF THE YEAR,TERRY K ft. PAUL GATUNE - KIRATHIMO,5CSY3,5,3
COLLABORATION SONG OF THE YEAR,HECH KENYA ft. ELMOH - SINA NOMA,5CSY4,5,4
COLLABORATION SONG OF THE YEAR,SINQOLO ft. TONY KABALA - SYSTEM YA FIRE,5CSY5,5,5
COLLABORATION SONG OF THE YEAR,PAUL GATUNE ft. JOSEPH Y - NGAI WA MWENA WAKWA,5CSY6,5,6
COLLABORATION SONG OF THE YEAR,"MC TITOH, PASHA TRUTH& MBENJA - MOST HIGH",5CSY7,5,7
COLLABORATION SONG OF THE YEAR,"JAY DONGA ft MASTERPIECE - NIKKI NIKKI
",5CSY8,5,
WORSHIP SONG OF THE YEAR,MAUREEN KESILET    - MOYO WANGU,6WSY1,6,1
WORSHIP SONG OF THE YEAR,DAN WADHAMANA   - NASHUKA,6WSY2,6,2
WORSHIP SONG OF THE YEAR,BROTHER JACKSON MUSIC  - BABA SISI TUNASONGEA,6WSY3,6,3
WORSHIP SONG OF THE YEAR,MAMA KINGS    - WEWE NI MUNGU,6WSY4,6,4
WORSHIP SONG OF THE YEAR,VERONICAH ATIENO   - KUTEMBEA NA YESU,6WSY5,6,5
WORSHIP SONG OF THE YEAR,RUTH NDIEMA    - WORTHY,6WSY6,6,6
WORSHIP SONG OF THE YEAR,TABBY PRAISE    - YOU ARE SO GOOD,6WSY7,6,7
WORSHIP SONG OF THE YEAR,LETAIYAN OLEIGERO   - NIKUABUDU,6WSY8,6,8
WORSHIP SONG OF THE YEAR,ANNE BLESSED    - MOYO WANGU,6WSY9,6,9
WORSHIP SONG OF THE YEAR,FRANK ASAPH    - NAFSI YANGU,6WSY10,6,10
WORSHIP SONG OF THE YEAR,FAITH NDUHIU    - UKUU WA MUNGU,6WSY11,6,11
WORSHIP SONG OF THE YEAR,GODWIL BABETTE    - TUNAKUSUJUDU,6WSY12,6,12
WORSHIP SONG OF THE YEAR,JEFF WALLACE    -  JE WEWE?,6WSY13,6,13
WORSHIP SONG OF THE YEAR,CATE MBUGUA    - MWAMINIFU,6WSY14,6,14
WORSHIP SONG OF THE YEAR,MIMAH SHAFFIE    - NI WEWE,6WSY15,6,15
HYPE MAN OF THE YEAR,KINGRED HOPE,7HMY1,7,1
HYPE MAN OF THE YEAR,HYPEKING DTO,7HMY2,7,2
HYPE MAN OF THE YEAR,MC SHIZE,7HMY3,7,3
HYPE MAN OF THE YEAR,HYPEMAN DOMMY,7HMY4,7,4
HYPE MAN OF THE YEAR,HYPE COLLO,7HMY5,7,5
HYPE MAN OF THE YEAR,MC SOUJA,7HMY6,7,6
HYPE MAN OF THE YEAR,HYPEMAN BANZU,7HMY7,7,7
HYPE MAN OF THE YEAR,HYPE WILLY,7HMY8,7,8
HYPE MAN OF THE YEAR,HYPE VIGILANTE,7HMY9,7,9
HYPE MAN OF THE YEAR,MC TITOH,7HMY10,7,10
MEDIA PERSONALITY OF THE YEAR,DAVE JESS - STEP UP GOSPEL SHOW,8MDY1,8,1
MEDIA PERSONALITY OF THE YEAR,WAMBUGU WA WAIRIMU TRIPPLE W  - THAYU FM,8MDY2,8,2
MEDIA PERSONALITY OF THE YEAR,DJ PANKRAZ (MY GENERATION MY ASSIGNMENT),8MDY3,8,3
MEDIA PERSONALITY OF THE YEAR,REVEREND DAD - ELDORET,8MDY4,8,4
MEDIA PERSONALITY OF THE YEAR,SUPA WARUI   -  MBCI,8MDY5,8,5
MEDIA PERSONALITY OF THE YEAR,WILSON KAMITI  - MBCI TV,8MDY6,8,6
MEDIA PERSONALITY OF THE YEAR,OGOLA MJOMBA  - RADIO YETU,8MDY7,8,7
MEDIA PERSONALITY OF THE YEAR,SAMSON SIMPIRI  - SIDAI FM,8MDY8,8,8
MEDIA PERSONALITY OF THE YEAR,MC EMOS - MC EMOS OCLOCK,8MDY9,8,9
MEDIA PERSONALITY OF THE YEAR,ESTELLE MWAI - NAKURU TV,8MDY10,8,10
MEDIA PERSONALITY OF THE YEAR,KATE VOBIC - HERO RADIO,8MDY11,8,11
MEDIA PERSONALITY OF THE YEAR,JOHN KAGO - VBN NETWORKS,8MDY12,8,12
MEDIA PERSONALITY OF THE YEAR,SARSHA - OCCUPY TV,8MDY13,8,13
TV SHOWS OF THE YEAR,STEP UP GOSPEL SHOW - STEP UP TV,9TVSY1,9,1
TV SHOWS OF THE YEAR,NBYM SHOW     - NAROK BAPTIST,9TVSY2,9,2
TV SHOWS OF THE YEAR,CROSS CONNECT - OCCUPY TV,9TVSY3,9,3
TV SHOWS OF THE YEAR,PRAISE AVENUE    - VBN,9TVSY4,9,4
TV SHOWS OF THE YEAR,SABALKHERI     - MBCI,9TVSY5,9,5
TV SHOWS OF THE YEAR,MY GENERATION MY ASSIGNMENT - ONLINE,9TVSY6,9,6
RADIO SHOW OF THE YEAR,IBADA YETU    - RADIO YETU,10RDSY1,10,1
RADIO SHOW OF THE YEAR,GOSPEL DRIVE   - SAYARE RADIO,10RDSY2,10,2
RADIO SHOW OF THE YEAR,SATURDAY NIGHT LIVE  - SAYARE RADIO,10RDSY3,10,3
RADIO SHOW OF THE YEAR,VIBE SHOW    - MBCI,10RDSY4,10,4
RADIO SHOW OF THE YEAR,ENKISISA    -  SIDAI FM,10RDSY5,10,5
RADIO SHOW OF THE YEAR,KWIREKERERIA SHOW - THAYU FM,10RDSY6,10,6
REGGEA SONG OF THE YEAR,SHADUFF MELODY - ORIGINAL,11RGSY1,11,1
REGGEA SONG OF THE YEAR,MG DEZNAH - ROHO JUU,11RGSY2,11,2
REGGEA SONG OF THE YEAR,HYPER JAMAL - BABA YAO,11RGSY3,11,3
REGGEA SONG OF THE YEAR,BRIGEDIER SHILOH - I WORSHIP YOU,11RGSY4,11,4
REGGEA SONG OF THE YEAR,G-BWOY - REAL FRIEND,11RGSY5,11,5
REGGEA SONG OF THE YEAR,KALLY B    - BLESS ME,11RGSY6,11,6
REGGEA SONG OF THE YEAR,ANGEL KENYA - CHAMPE,11RGSY7,11,7
REGGEA SONG OF THE YEAR,COOPER COOPER   - HONORABLE,11RGSY8,11,8
REGGEA SONG OF THE YEAR,FLOYD BELIEVER   - EASY,11RGSY9,11,9
SONG WRITER OF THE YEAR,MAUREEN KESILET,12SWY1,12,1
SONG WRITER OF THE YEAR,ZAWADI IBRAHIM,12SWY2,12,2
SONG WRITER OF THE YEAR,BARAK ESPAR,12SWY3,12,3
SONG WRITER OF THE YEAR,ANDY JOE,12SWY4,12,4
SONG WRITER OF THE YEAR,REUBEN KIGAME,12SWY5,12,5
SONG WRITER OF THE YEAR,MIKE LEBO MUSIC,12SWY6,12,6
SONG WRITER OF THE YEAR,OCHI PRAIZE,12SWY7,12,7
SONG WRITER OF THE YEAR,ABBY BAHATI,12SWY8,12,8
SONG WRITER OF THE YEAR,ROONEY MAX,12SWY9,12,9
SONG WRITER OF THE YEAR,TIMAM EVANS,12SWY10,12,10
SONG WRITER OF THE YEAR,GIDDY VIBEZ,12SWY11,12,11
SONG OF THE YEAR,KENAJ MUSIC    - SHINE,13SY1,13,1
SONG OF THE YEAR,IRENE SEUREY  - MAWALAKSEI,13SY2,13,2
SONG OF THE YEAR,ZAE DE KIM ft. GNICE - WACHA IWE,13SY3,13,3
SONG OF THE YEAR,SHARON RETOE  - ENDA NAMI,13SY4,13,4
SONG OF THE YEAR,FLOYD BELIEVER  - MOYO GWANGE,13SY5,13,5
SONG OF THE YEAR,MR. CHAIRMAN 254  - AMEKUA KWANGU,13SY6,13,6
SONG OF THE YEAR,FAITH NDUHIU  - UKUU WA MUNGU,13SY7,13,7
SONG OF THE YEAR,ANTONY MUSEMBI  - KUONGOZWA,13SY8,13,8
SONG OF THE YEAR,LENNY LION   - BOMBA,13SY9,13,9
SONG OF THE YEAR,EVELYN WANJIRU  - NO ONE LIKE YOU,13SY10,13,10
VIDEO OF THE YEAR,KENAJ MUSIC    - SHINE,14VDY1,14,1
VIDEO OF THE YEAR,BRIGADIER SHILOH   - NAME OF JESUS,14VDY2,14,2
VIDEO OF THE YEAR,ZAE DE KIM ft. GNICE  - WACHA IWE,14VDY3,14,3
VIDEO OF THE YEAR,HECH KENYA    - SINA NOMA,14VDY4,14,4
VIDEO OF THE YEAR,PAPA TOMASO   - MWACHIE YESU,14VDY5,14,5
VIDEO OF THE YEAR,SHARON RETOE   - ENDA NAMI,14VDY6,14,6
VIDEO OF THE YEAR,MIKE LEBO    - SHUMATA,14VDY7,14,7
VIDEO OF THE YEAR,FLOYD BELIEVER   - MOYO GWANGE,14VDY8,14,8
VIDEO OF THE YEAR,MR. CHAIRMAN 254   - AMEKUA KWAMGU,14VDY9,14,9
VIDEO OF THE YEAR,REV. ANTONY MUSEMBI  - KUONGOZWA,14VDY10,14,10
VIDEO OF THE YEAR,LENNY LION    - ORWA,14VDY11,14,11
VIDEO OF THE YEAR,MERCY SONN    - UTAKUA NAMI,14VDY12,14,12
VIDEO OF THE YEAR,JECINTA KIBUKU   - NINGWENDETE,14VDY13,14,13
